Path: /HepData/8404/d2-x1-y1
The Fourier coefficients V2(2PC,sub) extracted for charged pions as a function of PT from the correlation in  the 0-20% multiplicity class after subraction of the correlation from the 60-100% event class
Location: F 4
ABS(ETARAP(RF=LAB)) : < 0.8
Muliplicity Class IN pct : 0 TO 20 - 60 TO 100
RE : P PB --> ( PI+ + PI- ) X
SQRT(S)/NUCLEON : 5020.0 GeV
x: PT IN GEV
y : V(2PC,SUB)
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.249312	0.2	0.3	0.025153	+0.004738	-0.004738	+0.002566	-0.002566
0.392723	0.3	0.5	0.040124	+0.0018	-0.0018	+0.004093	-0.004093
0.612297	0.5	0.75	0.052862	+0.001913	-0.001913	+0.005392	-0.005392
0.863263	0.75	1.0	0.070728	+0.002534	-0.002534	+0.007214	-0.007214
1.114204	1.0	1.25	0.084676	+0.003407	-0.003407	+0.008637	-0.008637
1.36484	1.25	1.5	0.096966	+0.00456	-0.00456	+0.009891	-0.009891
1.711995	1.5	2.0	0.109589	+0.00383	-0.00383	+0.011178	-0.011178
2.213687	2.0	2.5	0.123439	+0.008009	-0.008009	+0.004444	-0.004444
2.714636	2.5	3.0	0.071451	+0.020113	-0.020113	+0.002572	-0.002572
3.366099	3.0	4.0	0.077476	+0.030845	-0.030845	+0.002789	-0.002789

