pion
pt(GeV/c)      v2     ev2(stat.)  ev2(sys.)
0.49179 0.04727 0.00163 0.00284
0.69111 0.07161 0.00217 0.00430
0.89019 0.08611 0.00291 0.00517
1.14896 0.10316 0.00310 0.00619
1.57488 0.10815 0.00523 0.00649
1.95116 0.13724 0.00886 0.00823
2.37066 0.15455 0.01546 0.00927
2.77607 0.11416 0.02720 0.00685

proton
pt(GeV/c)      v2    ev2(stat.) ev2(sys.)
0.51952 0.02978 0.00714 0.00179
0.69982 0.05203 0.00580 0.00312
0.89585 0.05958 0.00613 0.00357
1.18174 0.08679 0.00553 0.00521
1.57872 0.11298 0.00832 0.00678
1.96851 0.15705 0.01300 0.00942
2.36985 0.20786 0.02056 0.01247
2.77469 0.19577 0.03160 0.01175
